"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77005,1.9,percent,0.9,2.9,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77005,1.6,percent,0.6,2.6,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77005,1.3,percent,0.7,1.9,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77005,1.2,percent,0.4,2.0,,,,,No,2009-2013,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77005,1.1,percent,0.2,2.0,,,,,No,2008-2012,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77005,1.1,percent,0.1,2.1,,,,,No,2007-2011,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77006,2.1,percent,0.6,3.6,82,,,,No,2015-2019,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77006,2.1,percent,0.7,3.5,,,,,No,2014-2018,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77006,1.6,percent,0.4,2.8,,,,,No,2013-2017,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77006,2.8,percent,1.0,4.6,,,,,No,2012-2016,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77006,2.7,percent,1.1,4.3,,,,,No,2011-2015,"American Community Survey",,,,,,,,,,,,,,
"Families Living Below Poverty Level","This indicator shows the percentage of families living below the federal poverty level.","Zip Code",77006,2.8,percent,0.8,4.8,,,,,No,2010-2014,"American Community Survey",,,,,,,,,,,,,,
